time="2022-08-03T08:20:15Z" level=info msg="Logger Configuration." fields.level=debug path=./log
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-09-58-7abdcbfe9928605d06c91681ae84599b275d498f10690ce33f855f84180add7c.plot
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-10-02-170aedeb00d0ec156436ca43df93756f6fcd5dc899d03af03d67ce7f5b94622d.plot
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-10-06-5611712150b3426ca2eacb3d3041e83aa894b781509b5933309c83ca023870df.plot
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-10-25-977684edb657e5182ce928e536f96301df55978f94301a2b1d1496449b94899a.plot
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-10-27-048bc9cfbc2e358dea2d6db5dca09a9696339f3938017badae6118f5b991bc85.plot
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-10-29-3f5c11f4b66c95cda08e171d66bcb01e626d47fd96048f216e4381d553d7fb54.plot
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-10-31-1116d3628d0f7d0f974680ab50018dde2005158e8ed05878bdbca8b8e46f32b4.plot
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-10-43-3eb93bf0604068128f6db06b1675d148534b346fcaec9d6690e471a24d4c0a53.plot
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-11-05-f85548192a204d1933ace392f02713e1fa548691e735982aa089b32e6c88c7e7.plot
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-11-11-369f6cd103e371bb862f3296a691bc8f1544586c0a44f6565874c3f416b569c5.plot
